node	source	licence	licence_receipt	texts
cherokee	Internet Archive: Ayer_PM784_C425_1888	public domain	https://archive.org/details/Ayer_PM784_C425_1888	3
cherokee	Internet Archive: CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	25
cherokee	Internet Archive: CHRROT_DBS_HS	public domain	https://archive.org/details/CHRROT_DBS_HS	47
cherokee	Internet Archive: CherokeeJonah	public domain	https://archive.org/details/CherokeeJonah	1
cherokee	Internet Archive: cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	26
cherokee	Internet Archive: constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	25
cherokee	Internet Archive: shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	23
abbasid-arabic	ar.wikisource.org: أحسن التقاسيم في معرفة الأقاليم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: أسرار ترتيب القرآن	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: إحياء علوم الدين	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: إعراب القرآن للسيوطي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: إغاثة اللهفان	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: إقامة الدليل على إبطال التحليل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: ابن حزم - الإحكام في أصول الأحكام	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: اقتضاء الصراط المستقيم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الأخلاق والسير في مداواة النفوس	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الإعلام بما في دين النصارى	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الاختيارات الفقهية لشيخ الإسلام ابن تيمية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الاستقامة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: البداية والنهاية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: التاج في أخلاق الملوك	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: التاريخ الكبير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الجامع لأحكام القرآن	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الجمل في النحو	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الخصائص	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الدر المنثور	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الرد على المنطقيين	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الروح	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الصفدية	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: الصواعق المرسلة	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: العقد الفريد	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الفتاوى الكبرى	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الفقيه والمتفقه	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الفهرست	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الكافي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: الكتاب (سيبويه)	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: المزهر	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: المصباح المنير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: النبوات	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تحفة النظار في غرائب الأمصار وعجائب الأسفار	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تذكرة الحفاظ	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تفسير ابن كثير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تفسير البحر المحيط أبي حيان الغرناطي	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تقريب التهذيب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: تلبيس إبليس	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: تهذيب التهذيب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: جامع الرسائل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: جامع العلوم والحكم	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: خلاصة الحساب	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: درء تعارض العقل والنقل	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: رحلة ابن جبير	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	1
abbasid-arabic	ar.wikisource.org: رسالة السجزي إلى أهل زبيد	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
abbasid-arabic	ar.wikisource.org: رقائق الحقائق في حساب الدرج والدقائق	CC-BY-SA-4.0	https://ar.wikisource.org/w/api.php?action=query&meta=siteinfo&siprop=rightsinfo&format=json	2
