node	file	split	source	url	licence	licence_receipt	parent	title	sha256	bytes	band	role	src1	src2	cut_end	cut_k	cut_span	share	glue_order	paras	runes
cherokee	excerpt-001.txt	compile	Internet Archive: CherokeeJonah	https://archive.org/details/CherokeeJonah	public domain	https://archive.org/details/CherokeeJonah	CherokeeJonah	Jonah (translated into Cherokee)	b81bfe0239bb5219fb14d701dcc29de1607442e67799d6670e7dd6755356a8dc	7254	l	receiver	excerpt-001.txt	excerpt-084.txt	tail	6	20-25	0.2765	remainder	38	2677
cherokee	excerpt-002.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	51e3ee4fce2e415ac6bd897f9c63512e7ac6ea67204c7e4f4e440bc8a31d270f	1253	s	donor	excerpt-002.txt		head	9	1-9	0.2896		9	475
cherokee	excerpt-003.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	dc057e9eabbcc6ea2f2d9bfab506ad00259fdee0f99ec3faa41e11e72950a20d	4354	m	keep	excerpt-003.txt							23	1623
cherokee	excerpt-004.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	c77b844330b7daa75877e4015c5e7295af548be196b21122a96cf67953587a46	4160	m	keep	excerpt-004.txt							20	1547
cherokee	excerpt-005.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	69da00c511818b1f0e1f2750405814de5d6383851ddb0cde6880c1f8a2cef921	7341	l	receiver	excerpt-005.txt	excerpt-002.txt	head	9	1-9	0.2896	remainder	33	2691
cherokee	excerpt-006.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	f573f5d71e7e2ba4ad778403529e32cc3665308457267f6ab54c57a45a0ed4b1	7352	l	receiver	excerpt-006.txt	excerpt-088.txt	tail	6	15-20	0.2693	remainder	41	2710
cherokee	excerpt-007.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	fb95772b3e922e023f3e5d5ba3d83d15a981224419acf2e7db2ed4890b1f935f	4222	m	keep	excerpt-007.txt							24	1573
cherokee	excerpt-008.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	221e78b8759f6ee59ebb578280ac4e61c3316410f0f016e34940d8ff3e96c03a	1414	s	donor	excerpt-008.txt		head	7	1-7	0.3028		7	476
cherokee	excerpt-009.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	5c354f2f2bc7b4bcdc6f91a29d6a7d858a8e5360268d65d749b6f15e9503cbf2	4271	m	keep	excerpt-009.txt							10	1596
cherokee	excerpt-010.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	a3ecd0bcc3151338f9aa39e9e7476b98b6a574121708802c22c1be9283077903	1243	s	donor	excerpt-010.txt		head	9	1-9	0.2874		9	469
cherokee	excerpt-011.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	df87431775fe29bfd122e5e298230626dab36a03ca15f194eaf7174fa1251a33	7117	l	receiver	excerpt-011.txt	excerpt-076.txt	head	6	1-6	0.2504	receiver	38	2640
cherokee	excerpt-012.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	4252a6abab62bfa80c2f9f90d06e774d4d61a928c8911c39f8231d0acc12a278	4262	m	keep	excerpt-012.txt							23	1563
cherokee	excerpt-013.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	0d07286f1d30735aa8f02d4ce66ba7007e7277afc9912e6e35bc8f805a3216ee	4153	m	keep	excerpt-013.txt							16	1545
cherokee	excerpt-014.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	b81c1423cfe9769a32378ec916cc120d3285c4317615d15040daef14d9b26188	4230	m	keep	excerpt-014.txt							28	1541
cherokee	excerpt-015.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	f13296b1653ca8e5b0a518e8c8a19ccc48249c58e9e38d0a9ee22b0715eaf8fb	4120	m	keep	excerpt-015.txt							19	1509
cherokee	excerpt-016.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	78839f82bba168a22b5a8cfca5ee5ec603ad18e40a16a70cf3ce8b8fa6ec0da9	1199	s	donor	excerpt-016.txt		head	7	1-7	0.2914		7	452
cherokee	excerpt-017.txt	compile	Internet Archive: constitutionlaws0000vari	https://archive.org/details/constitutionlaws0000vari	public domain	https://archive.org/details/constitutionlaws0000vari	constitutionlaws0000vari	Constitution and laws of the Cherokee nation	c833fd1fd45ee2d00aa92d4d0e7f99f27cdb3f40e93b1b340b8ada5679436ead	1122	s	donor	excerpt-017.txt		tail	3	15-17	0.2676		3	410
cherokee	excerpt-018.txt	compile	Internet Archive: cherokeehymns00marb	https://archive.org/details/cherokeehymns00marb	public domain	https://archive.org/details/cherokeehymns00marb	cherokeehymns00marb	Cherokee hymns	ad0b0652306e2aff56c1d661546c95b9ae7d1b7355db5e1f4bb29600a20db30a	1193	s	donor	excerpt-018.txt		tail	9	21-29	0.2869		9	443
cherokee	excerpt-019.txt	compile	Internet Archive: CHRCNT_DBS_HS	https://archive.org/details/CHRCNT_DBS_HS	public domain	https://archive.org/details/CHRCNT_DBS_HS	CHRCNT_DBS_HS	Cherokee (1860) New Testament	c329fb646450b6acb556cce401643701576ae032dd92fdd291e8fb7c6f8f1968	4153	m	keep	excerpt-019.txt							24	1531
cherokee	excerpt-020.txt	compile	Internet Archive: shortercatechis00cham	https://archive.org/details/shortercatechis00cham	public domain	https://archive.org/details/shortercatechis00cham	shortercatechis00cham	The shorter catechism with proof texts ...	ffb3d1b21760a6384b763b57d03a4cbe2ecb3f70382a47ca7edd50998b0a76c0	1223	s	donor	excerpt-020.txt		head	8	1-8	0.2985		8	457
